anime_title;favorite_count
ハロー！！きんいろモザイク;12027
ミュージカル『刀剣乱舞』　加州清光 単騎出陣2017;11985
巌窟王;11969
魔法少女リリカルなのはStrikerS;11947
ハナヤマタ;11944
SOUND THEATRE × 夏目友人帳 ～集い 音劇の章・再び～;11942
革命機ヴァルヴレイヴ;11891
龍の歯医者;11885
陰陽師・平安物語;11874
遊☆戯☆王デュエルモンスターズGX;11874
ワールド・デストラクション ～世界撲滅の六人～;11867
干物妹！うまるちゃん OAD;11859
ツバサ・クロニクル（第2シリーズ）;11852
Butlers～千年百年物語～;11838
心霊探偵八雲;11837
「KING OF PRISM by PrettyRhythm」;11835
舟を編む;11834
生徒会の一存;11828
迷家-マヨイガ-;11795
うみねこのなく頃に;11758
ステラのまほう;11741
咲-Saki- 阿知賀編 episode of side-A;11688
劇場版 世界一初恋～横澤隆史の場合～;11686
BLACK LAGOON　The Second Barrage;11685
アニマエール！;11680
シュヴァルツェスマーケン;11674
そらのおとしもの;11670
ダンタリアンの書架;11650
おくさまが生徒会長！;11647
おおきく振りかぶって～夏の大会編～;11645
SHOW BY ROCK！！;11612
バクマン。第1シリーズ;11612
帰宅部活動記録;11598
犬とハサミは使いよう;11590
最遊記 RELOAD;11582
あまんちゅ！～あどばんす～;11575
虹色デイズ;11574
TSUKIPRO THE ANIMATION;11573
灼眼のシャナIII-FINAL-;11540
一人之下 the outcast;11532
屍姫;11528
戦場のヴァルキュリア;11528
TERRAFORMARS;11491
orange;11488
シャングリ・ラ;11487
龍ヶ嬢七々々の埋蔵金;11480
ノルン+ノネット;11404
純情ロマンチカ３;11399
黄昏乙女×アムネジア;11371
ゆるゆり さん☆ハイ！;11354
TVアニメ「ペルソナ４」;11319
つうかあ;11302
魔法少女リリカルなのはA's;11302
東のエデン 劇場版I The King of Eden;11299
腐男子高校生活;11290
ゆるゆり♪♪;11248
Kanon;11240
BLACK LAGOON Roberta's Blood Trail;11227
ビッグオーダー;11225
おしえて！ ギャル子ちゃん;11221
スカートの中はケダモノでした。;11217
ひだまりスケッチ;11212
デンキ街の本屋さん;11182
DEVIL SURVIVOR2 the ANIMATION;11143
ワカコ酒;11143
FAIRY TAIL　第49話～第72話;11072
UN-GO;11071
ムヒョとロージーの魔法律相談事務所;11023
これはゾンビですか?オブ・ザ・デッド;10988
ヘタリア　Axis Powers;10974
N・H・Kにようこそ!;10938
ワンピース アラバスタ編;10923
鋼殻のレギオス;10922
家庭教師ヒットマンREBORN！vsヴァリアー編;10915
ひもてはうす;10910
灼眼のシャナII(Second);10892
ブブキ・ブランキ;10892
プラネット・ウィズ;10864
小野下野のどこでもクエスト;10857
